@relation tweeters

@attribute firstperson	numeric
@attribute secondperson	numeric
@attribute thirdperson	numeric
@attribute conjunctions	numeric
@attribute pasttense	numeric
@attribute futuretense	numeric
@attribute commas	numeric
@attribute colonssemis	numeric
@attribute dashes	numeric
@attribute parentheses	numeric
@attribute ellipses	numeric
@attribute commonnouns	numeric
@attribute propernouns	numeric
@attribute averbs	numeric
@attribute wh-words	numeric
@attribute modernslang	numeric
@attribute all-caps	numeric
@attribute avg-sent-len	numeric
@attribute avg-token-len	numeric
@attribute sentencecount	numeric
@attribute class	{BarackObama,StephenAtHome,aplusk,KimKardashian,neiltyson,shakira}

@data
1, 1, 0, 0, 0, 1, 0, 1, 0, 0, 0, 2, 3, 0, 1, 0, 0, 7.500, 3.600, 2, BarackObama
0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 1, 0, 0, 0, 0, 6.500, 5.154, 2, BarackObama
0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 0, 5, 3, 0, 0, 0, 3, 12.000, 4.000, 2, BarackObama
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 6, 1, 0, 0, 1, 9.000, 4.444, 2, BarackObama
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 0, 0, 0, 1, 7.500, 3.867, 2, BarackObama
0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 9.500, 4.895, 2, BarackObama
0, 0, 1, 1, 0, 1, 0, 1, 0, 0, 0, 7, 2, 1, 0, 0, 2, 11.000, 3.682, 2, BarackObama
0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 0, 12.000, 4.875, 2, BarackObama
0, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 6, 3, 1, 0, 0, 0, 29.000, 3.862, 1, BarackObama
0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 7, 3, 0, 0, 0, 0, 9.500, 5.263, 2, BarackObama
0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 4, 1, 0, 0, 0, 2, 5.500, 2.545, 2, BarackObama
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 2, 9.500, 4.579, 2, BarackObama
0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 0, 0, 0, 0, 1, 3.667, 4.000, 3, BarackObama
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3.000, 3.667, 1, BarackObama
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2, 1, 0, 0, 0, 9.000, 4.111, 1, BarackObama
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 3, 0, 0, 0, 1, 13.000, 4.385, 1, BarackObama
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 19.000, 5.211, 1, BarackObama
1, 0, 0, 1, 2, 0, 0, 0, 0, 0, 0, 6, 2, 0, 0, 0, 1, 23.000, 4.565, 1, BarackObama
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 0, 1, 0, 0, 10.000, 3.800, 1, BarackObama
3, 0, 0, 1, 2, 1, 0, 0, 0, 0, 0, 7, 0, 1, 0, 0, 0, 13.500, 4.074, 2, BarackObama
2, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 1, 6.333, 4.105, 3, BarackObama
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 2, 0, 0, 0, 0, 8.000, 2.938, 2, BarackObama
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 6, 0, 1, 0, 0, 2, 21.000, 4.524, 1, BarackObama
1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 7, 1, 1, 0, 0, 0, 14.500, 3.828, 2, BarackObama
0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 6, 6, 0, 0, 0, 2, 10.500, 4.190, 2, BarackObama
0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 5, 4, 1, 0, 0, 0, 24.000, 4.458, 1, BarackObama
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 3, 0, 0, 0, 2, 11.000, 3.909, 2, BarackObama
1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 6, 3, 0, 0, 0, 1, 13.000, 4.308, 2, BarackObama
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 6, 0, 0, 0, 1, 21.000, 4.048, 1, BarackObama
0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 9, 4, 0, 0, 0, 3, 20.000, 3.950, 1, BarackObama
0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 7, 5, 0, 0, 0, 4, 12.000, 3.875, 2, BarackObama
