@relation tweeters

@attribute firstperson	numeric
@attribute secondperson	numeric
@attribute thirdperson	numeric
@attribute conjunctions	numeric
@attribute pasttense	numeric
@attribute futuretense	numeric
@attribute commas	numeric
@attribute colonssemis	numeric
@attribute dashes	numeric
@attribute parentheses	numeric
@attribute ellipses	numeric
@attribute commonnouns	numeric
@attribute propernouns	numeric
@attribute averbs	numeric
@attribute wh-words	numeric
@attribute modernslang	numeric
@attribute all-caps	numeric
@attribute avg-sent-len	numeric
@attribute avg-token-len	numeric
@attribute sentencecount	numeric
@attribute class	{britneyspears,bieberpunc,katyperry,ladygaga,rihanna,taylorswift13}

@data
4, 2, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 4, 0, 1, 4, 5.800, 3.724, 5, britneyspears
0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 2, 1, 0, 0, 2, 11.500, 4.087, 2, britneyspears
0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 0, 0, 7.500, 4.333, 2, britneyspears
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2, 0, 0, 0, 1, 4.750, 3.737, 4, britneyspears
2, 0, 0, 2, 2, 0, 0, 0, 0, 0, 0, 8, 3, 2, 0, 1, 3, 7.750, 3.581, 4, britneyspears
2, 2, 0, 1, 0, 1, 3, 2, 0, 0, 0, 10, 1, 5, 0, 1, 5, 35.000, 3.257, 1, britneyspears
2, 2, 1, 2, 3, 0, 2, 1, 0, 0, 0, 10, 0, 2, 0, 2, 3, 16.500, 3.364, 2, britneyspears
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 3, 0, 0, 0, 1, 14.000, 4.000, 1, britneyspears
0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 1, 16.000, 4.688, 1, britneyspears
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 2, 7.500, 3.400, 2, britneyspears
4, 2, 0, 0, 0, 1, 1, 1, 0, 0, 0, 9, 1, 3, 0, 1, 3, 11.333, 3.294, 3, britneyspears
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 10, 3, 1, 0, 0, 1, 5.200, 4.231, 5, britneyspears
2, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 2, 1, 0, 0, 11, 8.333, 4.640, 3, britneyspears
1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 1, 0, 0, 0, 9.000, 5.056, 2, britneyspears
1, 1, 0, 0, 1, 0, 0, 2, 0, 0, 0, 10, 0, 0, 1, 0, 2, 13.000, 4.231, 2, britneyspears
1, 5, 0, 0, 1, 0, 1, 0, 1, 0, 0, 11, 3, 1, 0, 1, 6, 5.600, 3.643, 5, britneyspears
0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 7, 2, 1, 0, 0, 1, 8.667, 3.846, 3, britneyspears
1, 1, 1, 0, 1, 0, 0, 0, 1, 0, 0, 6, 0, 0, 0, 0, 2, 8.333, 3.760, 3, britneyspears
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 0, 1, 1, 0, 1, 6.333, 4.316, 3, britneyspears
0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 6, 0, 2, 0, 0, 1, 11.000, 3.682, 2, britneyspears
0, 4, 1, 0, 1, 0, 1, 1, 0, 0, 0, 7, 1, 1, 0, 0, 5, 12.500, 3.760, 2, britneyspears
3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 7, 2, 0, 1, 0, 4, 12.500, 4.200, 2, britneyspears
1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 5, 2, 0, 0, 0, 3, 4.667, 3.786, 3, britneyspears
1, 2, 1, 1, 2, 0, 0, 1, 0, 1, 0, 6, 1, 1, 0, 0, 1, 5.600, 3.714, 5, britneyspears
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 1, 1, 0, 0, 3, 4.333, 3.308, 3, britneyspears
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4.000, 7.333, 3, britneyspears
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 2.500, 5.600, 2, britneyspears
0, 1, 0, 0, 1, 1, 0, 1, 0, 1, 0, 5, 0, 3, 0, 2, 0, 8.000, 4.333, 3, britneyspears
1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 8, 1, 2, 0, 1, 3, 8.333, 3.800, 3, britneyspears
0, 0, 0, 2, 1, 0, 5, 0, 1, 0, 0, 5, 6, 1, 0, 0, 1, 13.000, 3.769, 2, britneyspears
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 3, 0, 0, 0, 2, 16.000, 3.562, 1, britneyspears
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0, 0, 0, 4.333, 3.923, 3, britneyspears
2, 0, 1, 0, 1, 0, 1, 0, 0, 0, 0, 7, 0, 2, 0, 0, 1, 8.667, 3.731, 3, britneyspears
0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 2, 4, 1, 0, 0, 0, 8.500, 4.000, 2, britneyspears
1, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 3, 6.000, 3.000, 3, britneyspears
0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 7, 1, 1, 1, 0, 2, 10.500, 4.286, 2, britneyspears
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 1, 14.000, 3.429, 1, britneyspears
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 2, 0, 0, 1, 8.333, 4.600, 3, britneyspears
0, 0, 1, 0, 2, 0, 1, 0, 0, 0, 0, 5, 1, 3, 0, 0, 0, 8.667, 4.423, 3, britneyspears
0, 2, 0, 2, 2, 0, 0, 3, 0, 0, 0, 14, 2, 1, 0, 2, 5, 15.500, 3.935, 2, britneyspears
1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 16, 2, 1, 0, 0, 12, 6.400, 3.688, 5, britneyspears
0, 0, 2, 1, 3, 0, 1, 0, 0, 0, 0, 5, 2, 2, 0, 0, 0, 9.667, 3.966, 3, britneyspears
0, 0, 1, 0, 1, 0, 0, 2, 0, 1, 0, 10, 1, 1, 0, 1, 4, 10.500, 4.476, 2, britneyspears
0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 5, 1, 0, 0, 0, 0, 6.333, 3.579, 3, britneyspears
0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 4, 1, 1, 0, 0, 0, 8.500, 4.941, 2, britneyspears
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 1, 4.500, 4.111, 2, britneyspears
1, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 3, 1, 0, 0, 1, 6.000, 3.833, 4, britneyspears
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 4, 1, 1, 0, 1, 5.333, 3.688, 3, britneyspears
1, 3, 0, 0, 0, 0, 0, 1, 0, 0, 0, 10, 0, 0, 0, 0, 14, 11.500, 3.957, 2, britneyspears
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 8, 7, 1, 0, 0, 2, 13.000, 3.731, 2, britneyspears
1, 2, 0, 0, 2, 0, 1, 2, 0, 1, 0, 8, 2, 2, 0, 1, 2, 7.750, 3.645, 4, britneyspears
2, 1, 0, 0, 2, 0, 0, 3, 0, 1, 0, 9, 0, 2, 1, 0, 15, 13.500, 3.704, 2, britneyspears
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 4, 0, 0, 0, 0, 7.000, 4.000, 2, britneyspears
1, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 3, 5.667, 4.235, 3, britneyspears
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 1, 8.000, 3.438, 2, britneyspears
2, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 4, 1, 2, 0, 0, 0, 5.250, 4.190, 4, britneyspears
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 4, 4, 0, 0, 0, 2, 15.000, 3.267, 1, britneyspears
0, 0, 0, 0, 0, 0, 2, 1, 1, 0, 0, 4, 3, 0, 0, 0, 2, 13.000, 3.769, 1, britneyspears
0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1, 3.000, 2.833, 2, britneyspears
0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 0, 9, 5, 0, 0, 0, 4, 15.000, 3.733, 2, britneyspears
0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 1, 1, 0, 2, 8.333, 3.680, 3, britneyspears
1, 4, 0, 1, 2, 0, 0, 0, 1, 0, 0, 5, 3, 2, 0, 0, 9, 5.167, 3.258, 6, britneyspears
2, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 7, 2, 0, 1, 0, 2, 10.333, 3.742, 3, britneyspears
