@relation tweeters

@attribute firstperson	numeric
@attribute secondperson	numeric
@attribute thirdperson	numeric
@attribute conjunctions	numeric
@attribute pasttense	numeric
@attribute futuretense	numeric
@attribute commas	numeric
@attribute colonssemis	numeric
@attribute dashes	numeric
@attribute parentheses	numeric
@attribute ellipses	numeric
@attribute commonnouns	numeric
@attribute propernouns	numeric
@attribute averbs	numeric
@attribute wh-words	numeric
@attribute modernslang	numeric
@attribute all-caps	numeric
@attribute avg-sent-len	numeric
@attribute avg-token-len	numeric
@attribute sentencecount	numeric
@attribute class	{pop,news}

@data
4, 2, 0, 0, 1, 0, 0, 0, 1, 0, 0, 4, 1, 4, 0, 1, 1, 6.000, 4.120, 5, pop
0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 5, 2, 1, 0, 0, 2, 11.500, 4.550, 2, pop
0, 0, 2, 1, 0, 0, 0, 0, 1, 0, 0, 3, 1, 1, 0, 0, 0, 7.500, 4.846, 2, pop
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 3, 0, 0, 0, 1, 5.000, 4.188, 4, pop
2, 0, 0, 2, 2, 0, 0, 0, 1, 0, 0, 7, 4, 2, 0, 1, 1, 8.000, 3.926, 4, pop
2, 2, 0, 1, 0, 1, 3, 2, 1, 0, 0, 8, 2, 5, 0, 1, 1, 35.000, 3.821, 1, pop
2, 2, 1, 2, 3, 0, 2, 1, 1, 0, 0, 9, 1, 2, 0, 2, 1, 17.000, 3.750, 2, pop
0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 4, 0, 0, 0, 0, 16.000, 4.077, 1, pop
0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 4, 0, 0, 0, 0, 16.000, 4.688, 1, pop
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 1, 7.500, 3.571, 2, pop
4, 2, 0, 0, 0, 1, 1, 1, 1, 0, 0, 8, 2, 3, 0, 1, 1, 11.667, 3.750, 3, pop
0, 0, 1, 0, 1, 0, 0, 0, 1, 0, 0, 9, 4, 1, 0, 0, 1, 5.400, 4.952, 5, pop
2, 3, 0, 0, 0, 0, 0, 0, 1, 0, 0, 10, 3, 1, 0, 0, 9, 8.667, 4.913, 3, pop
1, 1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 1, 0, 0, 0, 9.000, 5.562, 2, pop
1, 1, 0, 0, 1, 0, 0, 2, 2, 1, 0, 8, 1, 0, 1, 0, 1, 14.000, 4.727, 2, pop
1, 5, 0, 0, 1, 0, 1, 0, 2, 0, 0, 10, 4, 1, 0, 1, 1, 5.800, 3.920, 5, pop
0, 1, 0, 1, 1, 0, 1, 0, 1, 0, 0, 7, 2, 1, 0, 0, 0, 8.667, 4.217, 3, pop
1, 1, 1, 0, 1, 0, 0, 0, 2, 0, 1, 5, 1, 0, 0, 0, 0, 13.000, 3.957, 2, pop
0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5, 0, 1, 1, 0, 0, 6.333, 4.938, 3, pop
0, 1, 1, 1, 0, 0, 2, 0, 0, 0, 0, 6, 0, 2, 0, 0, 0, 11.000, 4.278, 2, pop
0, 4, 1, 0, 1, 0, 1, 1, 1, 0, 0, 6, 2, 1, 0, 0, 3, 13.000, 4.091, 2, pop
3, 0, 0, 0, 2, 1, 0, 0, 0, 0, 0, 7, 2, 0, 1, 0, 2, 12.500, 4.478, 2, pop
1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 1, 5, 2, 0, 0, 0, 1, 7.000, 4.250, 2, pop
1, 2, 1, 1, 2, 0, 0, 1, 1, 1, 0, 5, 2, 1, 0, 0, 1, 5.800, 4.409, 5, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 5, 1, 1, 0, 0, 1, 6.500, 3.727, 2, pop
0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 4.000, 8.600, 3, pop
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 2, 0, 0, 0, 0, 3.000, 6.500, 2, pop
0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 4, 1, 3, 0, 2, 0, 8.333, 4.950, 3, pop
1, 2, 1, 0, 2, 0, 0, 0, 0, 0, 0, 8, 1, 2, 0, 1, 1, 8.333, 4.182, 3, pop
0, 0, 0, 2, 1, 0, 5, 0, 1, 0, 1, 5, 6, 1, 0, 0, 0, 13.000, 4.600, 2, pop
0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 0, 2, 4, 0, 0, 0, 0, 17.000, 3.857, 1, pop
0, 1, 0, 0, 0, 0, 0, 0, 1, 0, 1, 4, 1, 1, 0, 0, 0, 7.000, 4.083, 2, pop
2, 0, 1, 0, 1, 0, 1, 0, 1, 0, 0, 6, 1, 2, 0, 0, 0, 9.000, 4.043, 3, pop
0, 0, 0, 0, 0, 0, 1, 0, 1, 2, 0, 2, 4, 1, 0, 0, 0, 8.500, 5.250, 2, pop
1, 1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 3, 2, 0, 0, 0, 1, 6.000, 3.400, 3, pop
0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 1, 6, 2, 1, 1, 0, 1, 11.000, 4.400, 2, pop
0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 2, 5, 0, 0, 0, 0, 16.000, 3.286, 1, pop
2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 1, 2, 0, 0, 1, 8.667, 4.870, 3, pop
0, 0, 1, 0, 2, 0, 1, 0, 1, 0, 0, 4, 2, 3, 0, 0, 0, 9.000, 4.826, 3, pop
0, 2, 0, 2, 2, 0, 0, 3, 1, 1, 0, 13, 3, 1, 0, 2, 1, 16.500, 4.708, 2, pop
1, 1, 0, 2, 0, 0, 0, 1, 0, 0, 0, 16, 2, 1, 0, 0, 10, 6.400, 4.308, 5, pop
0, 0, 2, 1, 3, 0, 1, 0, 0, 0, 0, 5, 2, 2, 0, 0, 0, 9.667, 4.308, 3, pop
0, 0, 1, 0, 1, 0, 0, 2, 1, 1, 0, 9, 2, 1, 0, 1, 3, 11.000, 5.235, 2, pop
