@relation tweeters

@attribute firstperson	numeric
@attribute secondperson	numeric
@attribute thirdperson	numeric
@attribute conjunctions	numeric
@attribute pasttense	numeric
@attribute futuretense	numeric
@attribute commas	numeric
@attribute colonssemis	numeric
@attribute dashes	numeric
@attribute parentheses	numeric
@attribute ellipses	numeric
@attribute commonnouns	numeric
@attribute propernouns	numeric
@attribute averbs	numeric
@attribute wh-words	numeric
@attribute modernslang	numeric
@attribute all-caps	numeric
@attribute avg-sent-len	numeric
@attribute avg-token-len	numeric
@attribute sentencecount	numeric
@attribute class	{KimKardashian,katyperry}

@data
2, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 0, 1, 7.667, 3.478, 3, KimKardashian
2, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 5, 2, 4, 0, 0, 1, 6.600, 3.364, 5, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 0, 2, 0, 0, 1, 13.000, 4.077, 2, KimKardashian
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 7.000, 5.286, 1, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 1, 0, 0, 2, 20.000, 3.800, 1, KimKardashian
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 6, 1, 0, 0, 0, 1, 19.000, 5.263, 1, KimKardashian
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 2, 1, 1, 0, 9.000, 3.056, 2, KimKardashian
3, 2, 0, 1, 0, 1, 3, 0, 0, 0, 0, 9, 1, 0, 0, 2, 3, 32.000, 2.938, 1, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 4.000, 6.250, 1, KimKardashian
2, 0, 3, 0, 1, 0, 1, 0, 0, 0, 0, 4, 2, 5, 0, 1, 2, 9.333, 3.357, 3, KimKardashian
1, 0, 2, 1, 2, 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 4, 6.250, 3.640, 4, KimKardashian
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 0, 2, 5.000, 4.100, 2, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 6.000, 2.833, 1, KimKardashian
1, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 6, 0, 1, 0, 1, 3, 4.667, 4.071, 3, KimKardashian
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 1, 0, 0, 0, 10.000, 5.100, 1, KimKardashian
1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 2, 2, 1, 0, 0, 1, 6.500, 3.462, 2, KimKardashian
3, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 5, 0, 2, 0, 0, 2, 10.000, 3.800, 2, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 0, 0, 0, 1, 7.333, 4.455, 3, KimKardashian
1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 7.000, 3.714, 1, KimKardashian
1, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 11, 0, 0, 0, 0, 4, 5.750, 5.174, 4, KimKardashian
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 7.000, 5.857, 1, KimKardashian
3, 0, 0, 1, 3, 0, 0, 0, 0, 0, 0, 3, 0, 0, 2, 0, 5, 5.333, 3.562, 3, KimKardashian
0, 1, 2, 0, 1, 0, 0, 0, 0, 0, 0, 5, 3, 0, 1, 1, 1, 6.000, 2.792, 4, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 6.000, 3.167, 1, KimKardashian
1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 1, 5.500, 4.909, 2, KimKardashian
1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 0, 1, 2, 6.000, 4.667, 1, KimKardashian
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 4, 13.000, 5.000, 1, KimKardashian
