@relation tweeters

@attribute firstperson	numeric
@attribute secondperson	numeric
@attribute thirdperson	numeric
@attribute conjunctions	numeric
@attribute pasttense	numeric
@attribute futuretense	numeric
@attribute commas	numeric
@attribute colonssemis	numeric
@attribute dashes	numeric
@attribute parentheses	numeric
@attribute ellipses	numeric
@attribute commonnouns	numeric
@attribute propernouns	numeric
@attribute averbs	numeric
@attribute wh-words	numeric
@attribute modernslang	numeric
@attribute all-caps	numeric
@attribute avg-sent-len	numeric
@attribute avg-token-len	numeric
@attribute sentencecount	numeric
@attribute class	{TheOnion}

@data
2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 1, 0, 0, 3, 11.000, 4.182, 2, TheOnion
0, 0, 0, 1, 2, 0, 0, 1, 0, 0, 0, 7, 3, 0, 0, 0, 1, 21.000, 4.571, 1, TheOnion
0, 0, 1, 0, 1, 0, 0, 0, 0, 0, 0, 7, 1, 0, 0, 0, 0, 6.250, 3.880, 4, TheOnion
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 0, 0, 0, 0, 8.000, 4.750, 1, TheOnion
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 0, 0, 0, 0, 7.000, 4.571, 1, TheOnion
1, 1, 0, 0, 2, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 6.500, 4.462, 2, TheOnion
0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 3, 1, 0, 0, 0, 2, 7.000, 4.714, 1, TheOnion
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 1, 7, 0, 0, 0, 0, 15.000, 4.867, 1, TheOnion
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 5, 0, 0, 0, 4, 9.000, 3.944, 2, TheOnion
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 3, 1, 0, 0, 0, 0, 6.000, 7.000, 1, TheOnion
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 3, 0, 0, 0, 0, 8.000, 6.125, 1, TheOnion
0, 0, 0, 0, 0, 0, 1, 0, 1, 0, 0, 3, 3, 0, 0, 0, 0, 11.000, 4.545, 1, TheOnion
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 2, 2, 0, 0, 0, 9.000, 4.778, 1, TheOnion
0, 0, 0, 1, 1, 0, 0, 1, 0, 0, 0, 10, 1, 0, 0, 0, 2, 10.000, 5.350, 2, TheOnion
0, 0, 0, 0, 1, 0, 1, 0, 0, 0, 0, 5, 2, 1, 0, 0, 2, 15.000, 4.333, 1, TheOnion
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2, 1, 0, 0, 1, 12.000, 5.167, 1, TheOnion
0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 4, 1, 1, 0, 0, 0, 10.000, 5.500, 1, TheOnion
0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 4, 0, 0, 0, 2, 7.500, 4.733, 2, TheOnion
0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 0, 3, 1, 0, 1, 0, 1, 16.000, 3.562, 1, TheOnion
0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 5, 2, 1, 0, 0, 2, 15.000, 4.800, 1, TheOnion
2, 1, 1, 0, 2, 0, 1, 0, 0, 0, 0, 5, 0, 0, 1, 0, 0, 14.500, 3.931, 2, TheOnion
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 0, 0, 0, 1, 9.000, 5.333, 1, TheOnion
0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 2, 3, 1, 0, 0, 0, 11.000, 5.000, 1, TheOnion
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 0, 0, 0, 0, 13.000, 5.615, 1, TheOnion
0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 0, 0, 0, 10.000, 4.900, 1, TheOnion
1, 0, 0, 0, 0, 0, 1, 1, 1, 0, 0, 2, 4, 1, 0, 0, 3, 14.000, 3.571, 1, TheOnion
0, 0, 0, 0, 1, 0, 1, 1, 0, 0, 0, 5, 4, 1, 0, 0, 3, 18.000, 4.833, 1, TheOnion
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 4, 2, 0, 0, 0, 1, 9.000, 6.889, 1, TheOnion
0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 2, 1, 2, 0, 0, 1, 10.000, 4.900, 1, TheOnion
0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 3, 3, 0, 0, 0, 0, 10.000, 4.700, 1, TheOnion
0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 3, 1, 0, 0, 0, 2, 16.000, 4.000, 1, TheOnion
0, 2, 0, 0, 1, 0, 0, 1, 0, 0, 0, 4, 5, 1, 0, 0, 4, 6.333, 3.789, 3, TheOnion
0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 5, 1, 0, 0, 0, 14.000, 5.143, 1, TheOnion
1, 1, 0, 0, 3, 0, 0, 1, 0, 0, 0, 4, 1, 1, 0, 0, 0, 9.500, 5.000, 2, TheOnion
0, 0, 0, 0, 2, 0, 1, 0, 0, 0, 0, 4, 3, 0, 0, 0, 1, 16.000, 5.625, 1, TheOnion
0, 0, 0, 2, 1, 0, 1, 0, 0, 0, 0, 7, 0, 0, 0, 0, 1, 19.000, 5.053, 1, TheOnion
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 4, 1, 0, 0, 1, 14.000, 4.071, 1, TheOnion
0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 2, 4, 0, 0, 0, 1, 9.000, 5.111, 1, TheOnion
